TradeDate,AdjClose
11/5/2003 0:00,105.84
11/6/2003 0:00,106.4
11/7/2003 0:00,105.64
11/10/2003 0:00,105.17
11/11/2003 0:00,105.15
11/12/2003 0:00,106.31
11/13/2003 0:00,106.37
11/14/2003 0:00,105.43
11/17/2003 0:00,104.95
11/18/2003 0:00,103.82
11/19/2003 0:00,104.72
11/20/2003 0:00,103.81
11/21/2003 0:00,104.16
11/24/2003 0:00,105.62
11/25/2003 0:00,105.99
11/26/2003 0:00,106.4
11/28/2003 0:00,106.45
12/1/2003 0:00,107.6
12/2/2003 0:00,107.33
12/3/2003 0:00,107.16
12/4/2003 0:00,107.62
12/5/2003 0:00,106.85
12/8/2003 0:00,107.61
12/9/2003 0:00,106.73
12/10/2003 0:00,106.69
12/11/2003 0:00,107.88
12/12/2003 0:00,108.13
12/15/2003 0:00,107.6
12/16/2003 0:00,108.16
12/17/2003 0:00,108.16
12/18/2003 0:00,109.72
12/19/2003 0:00,108.9
12/22/2003 0:00,109.66
12/23/2003 0:00,109.74
12/24/2003 0:00,109.62
12/26/2003 0:00,109.7
12/29/2003 0:00,111.16
12/30/2003 0:00,111.18
12/31/2003 0:00,111.28
1/2/2004 0:00,111.25
1/5/2004 0:00,112.44
1/6/2004 0:00,112.55
1/7/2004 0:00,112.93
1/8/2004 0:00,113.38
1/9/2004 0:00,112.39
1/12/2004 0:00,113.22
1/13/2004 0:00,112.56
1/14/2004 0:00,113.5
1/15/2004 0:00,113.78
1/16/2004 0:00,114.23
1/20/2004 0:00,114.2
1/21/2004 0:00,115.1
1/22/2004 0:00,114.82
1/23/2004 0:00,114.43
1/26/2004 0:00,115.87
1/27/2004 0:00,114.68
1/28/2004 0:00,113.37
1/29/2004 0:00,113.48
1/30/2004 0:00,113.48
2/2/2004 0:00,113.91
2/3/2004 0:00,113.78
2/4/2004 0:00,112.85
2/5/2004 0:00,113.22
2/6/2004 0:00,114.45
2/9/2004 0:00,114.44
2/10/2004 0:00,114.85
2/11/2004 0:00,116.07
2/12/2004 0:00,115.65
2/13/2004 0:00,115.13
2/17/2004 0:00,116.16
2/18/2004 0:00,115.66
2/19/2004 0:00,115.2
2/20/2004 0:00,114.88
2/23/2004 0:00,114.59
2/24/2004 0:00,114.4
2/25/2004 0:00,114.86
2/26/2004 0:00,114.96
2/27/2004 0:00,115.02
3/1/2004 0:00,116.16
3/2/2004 0:00,115.5
3/3/2004 0:00,115.69
3/4/2004 0:00,115.99
3/5/2004 0:00,116.28
3/8/2004 0:00,114.96
3/9/2004 0:00,114.55
3/10/2004 0:00,112.67
3/11/2004 0:00,111.12
3/12/2004 0:00,112.57
3/15/2004 0:00,111.2
3/16/2004 0:00,111.79
3/17/2004 0:00,113.04
3/18/2004 0:00,113
3/19/2004 0:00,111.04
3/22/2004 0:00,109.65
3/23/2004 0:00,109.46
3/24/2004 0:00,109.55
3/25/2004 0:00,111.05
3/26/2004 0:00,111.03
3/29/2004 0:00,112.59
3/30/2004 0:00,112.97
3/31/2004 0:00,113.1
4/1/2004 0:00,113.66
4/2/2004 0:00,114.59
4/5/2004 0:00,115.25
4/6/2004 0:00,114.9
4/7/2004 0:00,114.62
4/8/2004 0:00,114.65
4/12/2004 0:00,114.82
4/13/2004 0:00,113.48
4/14/2004 0:00,113.35
4/15/2004 0:00,112.96
4/16/2004 0:00,113.83
4/19/2004 0:00,113.83
4/20/2004 0:00,111.99
4/21/2004 0:00,112.76
4/22/2004 0:00,114.25
4/23/2004 0:00,114.44
4/26/2004 0:00,114.2
4/27/2004 0:00,114.3
4/28/2004 0:00,112.82
4/29/2004 0:00,111.83
4/30/2004 0:00,111
5/3/2004 0:00,112.16
5/4/2004 0:00,112.07
5/5/2004 0:00,112.78
5/6/2004 0:00,111.81
5/7/2004 0:00,109.96
5/10/2004 0:00,108.83
5/11/2004 0:00,109.75
5/12/2004 0:00,110.45
5/13/2004 0:00,109.92
5/14/2004 0:00,109.99
5/17/2004 0:00,109.1
5/18/2004 0:00,109.65
5/19/2004 0:00,109.26
5/20/2004 0:00,109.62
5/21/2004 0:00,109.81
5/24/2004 0:00,110.27
5/25/2004 0:00,111.84
5/26/2004 0:00,112.24
5/27/2004 0:00,112.83
5/28/2004 0:00,112.76
6/1/2004 0:00,112.75
6/2/2004 0:00,113.13
6/3/2004 0:00,113.07
6/4/2004 0:00,112.86
6/7/2004 0:00,114.7
6/8/2004 0:00,114.86
6/9/2004 0:00,113.79
6/10/2004 0:00,114.26
6/14/2004 0:00,113.21
6/15/2004 0:00,114.01
6/16/2004 0:00,114.03
6/17/2004 0:00,113.85
6/18/2004 0:00,113.63
6/21/2004 0:00,113.2
6/22/2004 0:00,113.81
6/23/2004 0:00,114.79
6/24/2004 0:00,114.35
6/25/2004 0:00,113.81
6/28/2004 0:00,113.45
6/29/2004 0:00,113.89
6/30/2004 0:00,114.43
7/1/2004 0:00,113.07
7/2/2004 0:00,112.83
7/6/2004 0:00,111.89
7/7/2004 0:00,112.22
7/8/2004 0:00,111.37
7/9/2004 0:00,111.63
7/12/2004 0:00,111.8
7/13/2004 0:00,111.88
7/14/2004 0:00,111.56
7/15/2004 0:00,110.96
7/16/2004 0:00,110.64
7/19/2004 0:00,110.4
7/20/2004 0:00,111.66
7/21/2004 0:00,109.5
7/22/2004 0:00,109.8
7/23/2004 0:00,108.96
7/26/2004 0:00,108.72
7/27/2004 0:00,109.77
7/28/2004 0:00,110.15
7/29/2004 0:00,110.52
7/30/2004 0:00,110.87
8/2/2004 0:00,111.07
8/3/2004 0:00,110.18
8/4/2004 0:00,110.23
8/5/2004 0:00,108.4
8/6/2004 0:00,106.8
8/9/2004 0:00,106.99
8/10/2004 0:00,108.27
8/11/2004 0:00,108.12
8/12/2004 0:00,106.9
8/13/2004 0:00,107.14
8/16/2004 0:00,108.44
8/17/2004 0:00,108.89
8/18/2004 0:00,110.05
8/19/2004 0:00,109.71
8/20/2004 0:00,110.45
8/23/2004 0:00,110.2
8/24/2004 0:00,110.28
8/25/2004 0:00,111.09
8/26/2004 0:00,111.1
8/27/2004 0:00,111.4
8/30/2004 0:00,110.53
8/31/2004 0:00,111.12
9/1/2004 0:00,111.32
9/2/2004 0:00,112.64
9/3/2004 0:00,112.1
9/7/2004 0:00,112.86
9/8/2004 0:00,112.58
9/9/2004 0:00,112.43
9/10/2004 0:00,113.12
9/13/2004 0:00,113.39
9/14/2004 0:00,113.62
9/15/2004 0:00,112.8
9/16/2004 0:00,113.18
9/17/2004 0:00,113.12
9/20/2004 0:00,112.46
9/21/2004 0:00,113.08
9/22/2004 0:00,111.58
9/23/2004 0:00,111.02
9/24/2004 0:00,111.49
9/27/2004 0:00,110.74
9/28/2004 0:00,111.28
9/29/2004 0:00,111.79
9/30/2004 0:00,111.71
10/1/2004 0:00,113.56
10/4/2004 0:00,113.87
10/5/2004 0:00,113.9
10/6/2004 0:00,114.62
10/7/2004 0:00,113.45
10/8/2004 0:00,112.5
10/11/2004 0:00,112.97
10/12/2004 0:00,112.55
10/13/2004 0:00,111.6
10/14/2004 0:00,110.72
10/15/2004 0:00,111.26
10/18/2004 0:00,111.77
10/19/2004 0:00,110.66
10/20/2004 0:00,110.64
10/21/2004 0:00,111.11
10/22/2004 0:00,109.99
10/25/2004 0:00,109.88
10/26/2004 0:00,111.55
10/27/2004 0:00,112.92
10/28/2004 0:00,113.22
10/29/2004 0:00,113.38
11/1/2004 0:00,113.51
11/2/2004 0:00,113.55
11/3/2004 0:00,114.91
11/4/2004 0:00,116.56
11/5/2004 0:00,117.14
11/8/2004 0:00,117.09
11/9/2004 0:00,116.91
11/10/2004 0:00,116.97
